File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_pcre.c,"ap_regerror(int errcode, const ap_regex_t *preg, char *errbuf, apr_size_t errbuf_size)",25,21,13,3,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_pcre.c,ap_regfree(ap_regex_t *preg),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_pcre.c,"ap_regcomp(ap_regex_t *preg, const char *pattern, int cflags)",15,11,11,4,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_pcre.c,"ap_regexec(const ap_regex_t *preg, const char *string, apr_size_t nmatch, ap_regmatch_t pmatch[], int eflags)",67,60,39,13,7,2,0,13,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"http2env(apr_pool_t *a, const char *w)",22,19,16,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"ap_create_environment(apr_pool_t *p, apr_table_t *t)",35,33,26,8,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,ap_add_common_vars(request_rec *r),160,125,83,26,16,4,19,133,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"ap_find_path_info(const char *uri, const char *path_info)",18,15,11,6,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,original_uri(request_rec *r),22,17,13,6,5,4,0,18,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,ap_add_cgi_vars(request_rec *r),55,36,25,4,8,0,11,92,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"set_cookie_doo_doo(void *v, const char *key, const char *val)",3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"ap_scan_script_header_err_core(request_rec *r, char *buffer, int (*getsfunc) (char *, int, void *), void *getsfunc_data)",194,123,83,23,21,1,50,376,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"getsfunc_FILE(char *buf, int len, void *f)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"ap_scan_script_header_err(request_rec *r, apr_file_t *f, char *buffer)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"getsfunc_BRIGADE(char *buf, int len, void *arg)",42,39,32,7,3,1,0,6,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"ap_scan_script_header_err_brigade(request_rec *r, apr_bucket_brigade *bb, char *buffer)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"getsfunc_STRING(char *w, int len, void *pvastrs)",24,23,17,6,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,"ap_scan_script_header_err_strs(request_rec *r, char *buffer, const char **termch, int *termarg, ...)",14,13,11,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_time.c,"cached_explode(apr_time_exp_t *xt, apr_time_t t, struct exploded_time_cache_element *cache, int use_gmt)",85,39,26,9,1,0,45,383,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_time.c,"ap_explode_recent_localtime(apr_time_exp_t * tm, apr_time_t t)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_time.c,"ap_explode_recent_gmt(apr_time_exp_t * tm, apr_time_t t)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_time.c,"ap_recent_ctime(char *date_str, apr_time_t t)",42,34,34,1,3,0,5,27,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_time.c,"ap_recent_rfc822_date(char *date_str, apr_time_t t)",48,39,39,1,3,0,6,34,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_xml.c,"ap_xml_parse_input(request_rec * r, apr_xml_doc **pdoc)",102,76,56,14,20,0,6,49,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,ap_init_vhost_config(apr_pool_t *p),5,5,5,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"get_addresses(apr_pool_t *p, const char *w_, server_addr_rec ***paddr, apr_port_t default_port)",79,68,50,20,6,1,5,50,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"ap_parse_vhost_addrs(apr_pool_t *p, const char *hostname, server_rec *s)",22,18,14,6,1,0,3,20,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"ap_set_name_virtual_host(cmd_parms *cmd, void *dummy, const char *arg)",4,3,2,1,0,0,1,11,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"iphash_compare(const void *a, const void *b)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,dump_iphash_statistics(server_rec *main_s),38,36,25,5,1,0,1,9,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,hash_inaddr(unsigned key),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,hash_addr(struct apr_sockaddr_t *sa),9,4,4,1,1,0,4,33,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"new_ipaddr_chain(apr_pool_t *p, server_rec *s, server_addr_rec *sar)",9,8,8,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"new_name_chain(apr_pool_t *p, server_rec *s, server_addr_rec *sar)",8,7,7,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,find_ipaddr(apr_sockaddr_t *sa),17,14,11,5,2,0,1,10,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,find_default_server(apr_port_t port),12,10,8,4,1,0,1,2,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"dump_a_vhost(apr_file_t *f, ipaddr_chain *ic)",43,42,23,5,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,dump_vhost_config(apr_file_t *f),16,15,11,4,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"add_name_vhost_config(apr_pool_t *p, server_rec *main_s, server_rec *s, server_addr_rec *sar, ipaddr_chain *ic)",25,19,11,4,0,0,6,42,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"remove_unused_name_vhosts(server_rec *main_s, ipaddr_chain **pic)",14,13,8,2,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"ap_fini_vhost_config(apr_pool_t *p, server_rec *main_s)",161,112,73,16,16,3,33,269,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,fix_hostname(request_rec *r),66,46,32,8,5,0,15,103,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"matches_aliases(server_rec *s, const char *host)",29,25,18,13,2,0,2,11,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"ap_matches_request_vhost(request_rec *r, const char *host, apr_port_t port)",36,14,10,7,4,0,18,97,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,check_hostalias(request_rec *r),68,29,23,5,10,0,29,239,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,check_serverpath(request_rec *r),39,24,17,4,5,0,10,56,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,ap_update_vhost_from_headers(request_rec *r),14,12,7,4,0,0,2,15,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,"ap_vhost_iterate_given_conn(conn_rec *conn, ap_vhost_iterate_conn_cb func_cb, void* baton)",43,30,24,7,9,0,4,23,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,ap_update_vhost_given_ip(conn_rec *conn),30,17,15,2,5,0,8,50,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"clean_child_exit(int code, int slot)",5,5,4,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,ap_start_shutdown(void),10,4,3,1,1,0,5,44,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,ap_start_restart(int graceful),7,6,5,1,0,0,1,10,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,sig_coredump(int sig),4,4,4,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,sig_term(int sig),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,restart(int sig),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"ap_mpm_query(int query_code, int *result)",43,43,29,15,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"beos_accept(void **accepted, ap_listen_rec *lr, apr_pool_t *ptrans)",58,40,19,9,3,1,15,114,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,tell_workers_to_exit(void),8,8,6,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,set_signals(void),42,31,21,10,6,0,5,34,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,ap_graceful_stop_signalled(void),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,worker_thread(void *dummy),189,101,86,14,29,2,59,498,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,make_worker(int slot),34,24,18,6,6,0,4,28,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,check_restart(void *data),7,7,5,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,startup_threads(int number_to_start),12,9,6,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,perform_idle_server_maintenance(void),41,33,25,8,4,0,4,30,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,server_main_loop(int remaining_threads_to_start),77,45,32,9,5,0,27,165,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"ap_mpm_run(apr_pool_t *_pconf, apr_pool_t *plog, server_rec *s)",209,113,74,31,31,2,65,469,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"beos_pre_config(apr_pool_t *pconf, apr_pool_t *plog, apr_pool_t *ptemp)",52,42,32,6,9,0,1,9,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,beos_hooks(apr_pool_t *p),4,3,3,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"set_threads_to_start(cmd_parms *cmd, void *dummy, const char *arg)",13,12,9,4,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"set_min_spare_threads(cmd_parms *cmd, void *dummy, const char *arg)",18,16,11,4,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"set_max_spare_threads(cmd_parms *cmd, void *dummy, const char *arg)",8,7,6,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"set_threads_limit(cmd_parms *cmd, void *dummy, const char *arg)",24,23,14,4,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,"set_max_requests_per_thread(cmd_parms *cmd, void *dummy, const char *arg)",15,13,9,4,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,close_worker_sockets(void),8,8,6,2,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,wakeup_listener(void),20,10,6,1,0,0,10,73,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,signal_threads(int mode),22,13,11,2,2,1,7,52,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"ap_mpm_query(int query_code, int *result)",46,46,31,16,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,clean_child_exit(int code),6,6,5,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,just_die(int sig),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,ap_start_shutdown(int graceful),11,7,6,1,0,0,4,28,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,ap_start_restart(int graceful),8,7,6,1,0,0,1,10,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,sig_term(int sig),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,restart(int sig),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,set_signals(void),82,74,29,10,6,6,2,26,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,ap_graceful_stop_signalled(void),5,2,2,1,0,0,3,16,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"process_socket(apr_pool_t * p, apr_socket_t * sock, conn_state_t * cs, int my_child_num, int my_thread_num)",114,71,59,8,17,1,26,224,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,check_infinite_requests(void),18,7,5,1,1,1,10,85,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,unblock_signal(int sig),10,9,6,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,dummy_signal_handler(int sig),4,1,1,0,0,0,3,19,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"push2worker(const apr_pollfd_t * pfd, apr_pollset_t * pollset)",37,22,18,5,6,0,9,51,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,get_worker(int *have_idle_worker_p),26,21,14,6,2,0,3,18,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"listener_thread(apr_thread_t * thd, void *dummy)",259,176,127,29,40,4,43,287,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"worker_thread(apr_thread_t * thd, void *dummy)",82,60,42,11,7,1,15,113,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,check_signal(int signum),7,7,4,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,create_listener_thread(thread_starter * ts),19,17,14,1,1,1,1,18,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"start_threads(apr_thread_t * thd, void *dummy)",110,79,55,13,11,1,20,155,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"join_workers(apr_thread_t * listener, apr_thread_t ** threads)",51,39,21,7,4,1,8,76,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,join_start_thread(apr_thread_t * start_thread_id),12,8,9,1,1,1,3,22,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,child_main(int child_num_arg),157,85,65,14,21,2,51,366,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"make_child(server_rec * s, int slot)",53,34,23,7,9,0,10,66,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,startup_children(int number_to_start),12,11,8,4,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,perform_idle_server_maintenance(void),163,120,75,24,10,3,33,262,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,server_main_loop(int remaining_children_to_start),84,55,35,7,4,0,25,173,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"ap_mpm_run(apr_pool_t * _pconf, apr_pool_t * plog, server_rec * s)",190,115,78,22,30,2,45,353,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"worker_open_logs(apr_pool_t * p, apr_pool_t * plog, apr_pool_t * ptemp, server_rec * s)",20,17,12,6,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"worker_pre_config(apr_pool_t * pconf, apr_pool_t * plog, apr_pool_t * ptemp)",101,82,63,14,12,0,7,60,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,event_hooks(apr_pool_t * p),13,5,6,0,1,0,7,51,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"set_daemons_to_start(cmd_parms *cmd, void *dummy, const char *arg)",8,7,6,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"set_min_spare_threads(cmd_parms * cmd, void *dummy, const char *arg)",18,16,11,4,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"set_max_spare_threads(cmd_parms * cmd, void *dummy, const char *arg)",8,7,6,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"set_max_clients(cmd_parms * cmd, void *dummy, const char *arg)",55,52,27,6,1,0,2,23,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"set_threads_per_child(cmd_parms * cmd, void *dummy, const char *arg)",24,23,14,4,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"set_server_limit(cmd_parms *cmd, void *dummy, const char *arg)",37,27,18,6,3,0,7,46,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,"set_thread_limit(cmd_parms * cmd, void *dummy, const char *arg)",36,26,18,6,3,0,7,46,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,queue_info_cleanup(void *data_),19,16,11,5,2,0,1,9,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,"ap_queue_info_create(fd_queue_info_t ** queue_info, apr_pool_t * pool, int max_idlers)",23,19,15,5,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,"ap_queue_info_set_idle(fd_queue_info_t * queue_info, apr_pool_t * pool_to_recycle)",28,22,18,8,4,0,2,20,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,ap_queue_info_wait_for_idler(fd_queue_info_t * queue_info),59,35,26,13,3,1,21,169,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,"ap_push_pool(fd_queue_info_t * queue_info, apr_pool_t * pool_to_recycle)",19,16,9,4,0,0,3,21,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,"ap_pop_pool(apr_pool_t ** recycled_pool, fd_queue_info_t * queue_info)",26,14,9,5,4,0,8,79,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,ap_queue_info_term(fd_queue_info_t * queue_info),9,9,8,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,ap_queue_destroy(void *data),10,5,5,1,2,0,3,32,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,"ap_queue_init(fd_queue_t * queue, int queue_capacity, apr_pool_t * a)",25,19,13,6,5,0,1,10,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,"ap_queue_push(fd_queue_t * queue, apr_socket_t * sd, conn_state_t * cs, apr_pool_t * p)",24,18,16,5,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,"ap_queue_pop(fd_queue_t * queue, apr_socket_t ** sd, conn_state_t ** cs, apr_pool_t ** p)",39,33,24,11,4,2,2,36,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,ap_queue_interrupt_all(fd_queue_t * queue),8,7,6,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,ap_queue_term(fd_queue_t * queue),15,10,8,5,1,0,4,33,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.c,"ap_mpm_pod_open(apr_pool_t * p, ap_pod_t ** pod)",18,11,10,3,3,0,4,8,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.c,ap_mpm_pod_check(ap_pod_t * pod),19,15,11,5,1,0,3,22,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.c,ap_mpm_pod_close(ap_pod_t * pod),13,11,9,5,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.c,"pod_signal_internal(ap_pod_t * pod, int graceful)",11,10,8,2,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.c,"ap_mpm_pod_signal(ap_pod_t * pod, int graceful)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.c,"ap_mpm_pod_killpg(ap_pod_t * pod, int num, int graceful)",7,6,5,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpmt_os2.c,"ap_mpm_run(apr_pool_t *_pconf, apr_pool_t *plog, server_rec *s )",79,59,46,10,15,2,5,26,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpmt_os2.c,master_main(),136,99,65,25,23,0,14,108,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpmt_os2.c,spawn_child(int slot),24,20,16,2,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpmt_os2.c,sig_term(int sig),3,3,3,0,0,0,0,0,
